Gene,Temp37_effect_size,Temp37_fdr
orf19.7218,0.179045241,0.881119917
orf19.3983,0.178234783,0.710706309
orf19.2879,0.17701856,0.533762299
orf19.4063,0.175311969,0.681183042
orf19.5782,0.175183483,0.617073267
orf19.245,0.174968128,0.747073478
orf19.3296,0.174329195,0.70439417
orf19.7237,0.173614771,0.769733691
orf19.7332,0.173524686,0.811869547
orf19.6200,0.172677487,0.672877599
orf19.5611,0.171077583,0.772692106
orf19.3711,0.170953431,0.642547027
orf19.333,0.170637624,0.659134945
orf19.4225,0.169251534,0.666191891
orf19.3407,0.168714649,0.657571223
orf19.550,0.168681256,0.649909928
orf19.6766,0.167903332,0.725210084
orf19.6653,0.167767158,0.630024688
orf19.6956,0.167564094,0.783918985
orf19.2199,0.167057587,0.597881972
orf19.5107,0.167003551,0.758266435
orf19.758,0.165975794,0.62610755
orf19.4424,0.165946827,0.691009251
orf19.6214,0.165711441,0.769571288
orf19.3365,0.165088714,0.638232467
orf19.415,0.164193332,0.802577735
orf19.3434,0.164068705,0.667681738
orf19.5675,0.163370011,0.802577735
orf19.1255,0.163108633,0.763881912
orf19.457,0.162768912,0.695920872
orf19.2073,0.162745481,0.610288579
orf19.782,0.162577249,0.763881912
orf19.5926,0.162429179,0.726330203
orf19.7265,0.161973056,0.653406688
orf19.3018,0.161313489,0.753553433
orf19.6377,0.161203037,0.747073478
orf19.6237,0.160913408,0.654807568
orf19.405,0.160824095,0.808392957
orf19.2792,0.160686767,0.696900051
orf19.183,0.160071326,0.763611245
orf19.4550,0.159925867,0.688900636
orf19.5433,0.159409495,0.61255304
orf19.805,0.159196086,0.771610839
orf19.6953,0.158882799,0.770191919
orf19.1623,0.158478663,0.660029844
orf19.6578,0.158129425,0.703325458
orf19.4088,0.158117996,0.717637066
orf19.5816,0.157941956,0.647070095
orf19.4418,0.157147458,0.717637066
orf19.3669,0.156210582,0.791117916
orf19.4023,0.155577353,0.660696531
orf19.5438,0.1554865,0.769571288
orf19.5523,0.155390807,0.713648268
orf19.4274,0.154699243,0.533855496
orf19.3432,0.154645803,0.708544574
orf19.7523,0.153838805,0.660687458
orf19.7091,0.153740651,0.577961727
orf19.7208,0.153560619,0.735444672
orf19.4743,0.152968978,0.725564893
orf19.4128,0.152594642,0.772692106
orf19.1714,0.15224337,0.805998784
orf19.5641,0.152182304,0.763816499
orf19.6316,0.1521622,0.630024688
orf19.1471,0.151931784,0.840784476
orf19.425,0.151131264,0.811634531
orf19.4347,0.151109457,0.703036756
orf19.4850,0.150925959,0.753392291
orf19.2129,0.14985455,0.811963387
orf19.3770,0.149703675,0.664677884
orf19.6000,0.149486356,0.794780868
orf19.7475,0.149287331,0.713387819
orf19.2114,0.14914986,0.636511127
orf19.5006,0.148027867,0.862341944
orf19.3591,0.147545633,0.789392926
orf19.1236,0.146995172,0.786741084
orf19.3592,0.146924039,0.682992114
orf19.2791,0.146778653,0.783918985
orf19.2463,0.146261267,0.667987524
orf19.2458,0.146049257,0.799395453
orf19.355,0.14520351,0.667681738
orf19.1214,0.144669822,0.752698043
orf19.6990,0.143468987,0.724621426
orf19.4686,0.142533949,0.762823394
orf19.2106,0.141786128,0.726006288
orf19.4584,0.141634011,0.703325458
orf19.3841,0.141568484,0.703036756
orf19.2426,0.140876012,0.750568158
orf19.3302,0.140260665,0.772692106
orf19.2990,0.138963529,0.70439417
orf19.733,0.13893941,0.770381458
orf19.7513,0.138845245,0.782276609
orf19.4898,0.138813786,0.708481845
orf19.6152,0.138792843,0.703325458
orf19.4874,0.138144131,0.675285949
orf19.6420,0.13739909,0.688900636
orf19.3721,0.136388238,0.808392957
orf19.5535,0.135598361,0.746932839
orf19.804,0.135436898,0.799395453
orf19.4722,0.132821947,0.848094479
orf19.2945,0.132575746,0.744557616
orf19.656,0.132468765,0.769571288
orf19.7598,0.132322289,0.858546025
orf19.1060,0.129809727,0.77296812
orf19.4150,0.129666544,0.799395453
orf19.1496,0.128290463,0.783918985
orf19.5485,0.128161385,0.836833461
orf19.2771,0.127774166,0.675285949
orf19.2312,0.12709209,0.750340829
orf19.6913,0.125978908,0.735444672
orf19.5784,0.125954447,0.880315777
orf19.3658,0.125910872,0.716651682
orf19.6195,0.125273725,0.798302819
orf19.1804,0.124881202,0.792444924
orf19.7440,0.124768736,0.811642927
orf19.2626,0.124767533,0.799395453
orf19.795,0.12379265,0.759653731
orf19.1139,0.123206215,0.769571288
orf19.349,0.123180038,0.811642927
orf19.4843,0.122349367,0.729453293
orf19.3418,0.121840717,0.768977516
orf19.4826,0.121369943,0.763881912
orf19.763,0.120698164,0.759253745
orf19.6449,0.120638429,0.798541614
orf19.7310,0.120508887,0.734416676
orf19.5443,0.120349736,0.842489225
orf19.690,0.119514388,0.808392957
orf19.119,0.119147209,0.794740262
orf19.764,0.119081031,0.776103445
orf19.932,0.118826073,0.759653731
orf19.1686,0.118418536,0.728155015
orf19.3135,0.118162686,0.836833461
orf19.4816,0.117635332,0.836384944
orf19.511,0.117101777,0.794780868
orf19.1699,0.116706239,0.763881912
orf19.6592,0.115869992,0.794780868
orf19.299,0.115858976,0.832357392
orf19.3134,0.115405375,0.60804347
orf19.2197,0.113625477,0.745612018
orf19.6812,0.113611496,0.830044984
orf19.752,0.11285046,0.772692106
orf19.1264,0.112566627,0.811642927
orf19.1196,0.11190049,0.842381231
orf19.1720,0.111837756,0.845770024
orf19.1813,0.111620539,0.758266435
orf19.2248,0.111264137,0.771610839
orf19.2798,0.110882329,0.811634531
orf19.2115,0.11082201,0.8008734
orf19.7500,0.110386761,0.811642927
orf19.4783,0.109897482,0.796194917
orf19.5843,0.109710281,0.82500235
orf19.7152,0.109571364,0.779266168
orf19.6660,0.107989878,0.785841401
orf19.4131,0.107213092,0.845770024
orf19.3507,0.107106371,0.793331415
orf19.4937,0.106944176,0.825730026
orf19.2175,0.106754472,0.793331415
orf19.5965,0.106731819,0.867580235
orf19.125,0.106646576,0.807119638
orf19.5257,0.105973668,0.860578859
orf19.5762,0.104099757,0.79182912
orf19.4962,0.103750876,0.799395453
orf19.6173,0.103376094,0.860757886
orf19.3193,0.10299993,0.830044984
orf19.1355,0.102623174,0.879473118
orf19.190,0.101372114,0.830358316
orf19.2043,0.101200333,0.772692106
orf19.430,0.100547991,0.798302819
orf19.4312,0.099270062,0.772692106
orf19.4537,0.099038809,0.860578859
orf19.7071,0.098869939,0.86275492
orf19.4466,0.097851315,0.860578859
orf19.207,0.097186668,0.906960577
orf19.942,0.096754794,0.90030694
orf19.1865,0.096511006,0.785841401
orf19.6722,0.096218948,0.823482979
orf19.7629,0.095432195,0.797730676
orf19.7213,0.095165728,0.855921441
orf19.974,0.09497977,0.847218482
orf19.7061,0.094942526,0.800538325
orf19.4357,0.094891891,0.817733939
orf19.3042,0.094860851,0.860578859
orf19.5755,0.093820625,0.793331415
orf19.873,0.093701742,0.811642927
orf19.4593,0.092673273,0.884974463
orf19.2098,0.092199219,0.851916057
orf19.3686,0.09186757,0.808392957
orf19.7107,0.091311386,0.855921441
orf19.1142,0.091216205,0.82353996
orf19.5262,0.091143758,0.825480977
orf19.4524,0.090673931,0.888551622
orf19.3401,0.090329164,0.909893896
orf19.10,0.088595622,0.851916057
orf19.3982,0.087203268,0.89374546
orf19.1449,0.085773699,0.830044984
orf19.4031,0.085056816,0.842489225
orf19.866,0.084938567,0.879473118
orf19.6868,0.08488436,0.884266274
orf19.4730,0.084296542,0.819007464
orf19.2246,0.083587736,0.90030694
orf19.3131,0.083270565,0.919746048
orf19.5588,0.083019701,0.863651787
orf19.97,0.082482566,0.896951296
orf19.3954,0.080824197,0.832627734
orf19.238,0.080236969,0.806846228
orf19.668,0.077453128,0.878485154
orf19.2124,0.077372494,0.925049262
orf19.2810,0.077143536,0.8747262
orf19.7396,0.077128495,0.830044984
orf19.341,0.076672847,0.897658927
orf19.203,0.076445964,0.862341944
orf19.2418,0.076232755,0.787482119
orf19.2006,0.075038351,0.879473118
orf19.5025,0.074664197,0.91413303
orf19.4760,0.074421399,0.837441019
orf19.1980,0.073582368,0.881769162
orf19.4688,0.071650659,0.879473118
orf19.2241,0.070259408,0.885496303
orf19.3368,0.069809624,0.920481525
orf19.2496,0.069757142,0.912971645
orf19.1663,0.069656501,0.912971645
orf19.2394,0.069636129,0.89374546
orf19.460,0.068789332,0.89374546
orf19.7370,0.068642655,0.881769162
orf19.809,0.068266018,0.90126032
orf19.6055,0.067520421,0.877273393
orf19.2498,0.067347652,0.888551622
orf19.1533,0.066880439,0.959412928
orf19.6629,0.065697203,0.903043225
orf19.6569,0.065549466,0.89374546
orf19.6066,0.064848741,0.887638569
orf19.6751,0.064555199,0.894073332
orf19.4776,0.064417045,0.950300255
orf19.338,0.064388876,0.924507116
orf19.3003,0.064364962,0.929057291
orf19.1057,0.063892771,0.905202289
orf19.3100,0.063721748,0.887638569
orf19.7216,0.063525614,0.955973859
orf19.3458,0.0632854,0.882871407
orf19.4912,0.063231332,0.924507116
orf19.1755,0.063178696,0.925314684
orf19.1150,0.062969986,0.887272641
orf19.1343,0.062842436,0.909404869
orf19.1078,0.061187883,0.897134815
orf19.1634,0.06110006,0.747073478
orf19.7231,0.060478919,0.881769162
orf19.2306,0.059930357,0.89500604
orf19.7238,0.058827699,0.905202289
orf19.2137,0.058652993,0.91384535
orf19.669,0.058484541,0.920481525
orf19.1525,0.058308574,0.923547901
orf19.2749,0.055844949,0.929057291
orf19.5384,0.055784921,0.920481525
orf19.3051,0.054789954,0.910428528
orf19.5827,0.054019417,0.947263451
orf19.5505,0.053500751,0.918588017
orf19.1201,0.053294439,0.926704002
orf19.7514,0.052701436,0.918587379
orf19.604,0.052628079,0.924507116
orf19.7387,0.049231939,0.929057291
orf19.2608,0.049095909,0.909893896
orf19.3720,0.048737205,0.93168936
orf19.6196,0.048430051,0.941267326
orf19.651,0.048209174,0.920481525
orf19.3149,0.047755523,0.910428528
orf19.4778,0.047693048,0.926820041
orf19.2693,0.047525812,0.925314684
orf19.2101,0.047518386,0.920481525
orf19.3822,0.04731951,0.92358238
orf19.4800,0.046630298,0.933614885
orf19.5006.1,0.046356073,0.930369001
orf19.3843,0.04602864,0.949154988
orf19.1070,0.04526682,0.90030694
orf19.477,0.045254258,0.931571177
orf19.1363,0.045079326,0.918588017
orf19.2209,0.042387342,0.963289295
orf19.5859,0.041847511,0.938046866
orf19.4035,0.041710571,0.934028753
orf19.6832,0.041547601,0.934597145
orf19.893,0.039219803,0.959936014
orf19.798,0.038842637,0.955538481
orf19.6680,0.038837762,0.953910838
orf19.3839,0.037410309,0.933614885
orf19.7672,0.036855155,0.959412928
orf19.7428,0.036166359,0.945412321
orf19.4316,0.03611317,0.936459996
orf19.1719,0.036091619,0.933614885
orf19.6928,0.035946868,0.933614885
orf19.1159,0.034911515,0.959936014
orf19.3785,0.03444198,0.936459996
orf19.7270,0.033930279,0.945656528
orf19.3603,0.033295515,0.959605551
orf19.2514,0.033159914,0.955973859
orf19.6992,0.032070127,0.953631896
orf19.6464,0.031687451,0.952949838
orf19.703,0.031670086,0.955973859
orf19.7165,0.031422806,0.960207296
orf19.5265,0.031195725,0.961870689
orf19.2016,0.031085057,0.959936014
orf19.6109,0.030703088,0.97524157
orf19.6805,0.030613885,0.961358853
orf19.4615,0.030135224,0.961870689
orf19.5903,0.030011409,0.955973859
orf19.3966,0.029457441,0.959936014
orf19.4943,0.028285643,0.961870689
orf19.3617,0.027824394,0.961870689
orf19.7663,0.026723114,0.959412928
orf19.1308,0.026342845,0.972995844
orf19.52,0.026242214,0.972289303
orf19.4884,0.026143369,0.963551196
orf19.6729,0.026062537,0.959412928
orf19.166,0.02569231,0.959412928
orf19.3222,0.0250857,0.961689629
orf19.4921,0.02455685,0.959605551
orf19.1800,0.024116616,0.976353315
orf19.459,0.023942253,0.975489538
orf19.4945,0.023728027,0.953631896
orf19.4148,0.023709462,0.960207296
orf19.6302,0.023371741,0.963551196
orf19.2721,0.022225805,0.963289295
orf19.5911,0.022164272,0.961358853
orf19.794,0.02120032,0.97497504
orf19.3139,0.020845856,0.962233833
orf19.844,0.020322641,0.974729008
orf19.4255,0.019376139,0.973980338
orf19.3187,0.01925675,0.97524157
orf19.4534,0.019047858,0.974729008
orf19.7403,0.018169482,0.971119578
orf19.6889,0.018137077,0.97524157
orf19.4773,0.017897278,0.974729008
orf19.7661,0.016822473,0.974729008
orf19.4821,0.016282564,0.983429625
orf19.1747,0.016201418,0.989186819
orf19.434,0.01611522,0.97524157
orf19.3854,0.015991381,0.97524157
orf19.5144,0.015924034,0.972995844
orf19.1296,0.014245088,0.980510391
orf19.212,0.013819892,0.974729008
orf19.51,0.012827385,0.986855298
orf19.7512,0.012611676,0.980104839
orf19.3641,0.012586219,0.982663696
orf19.5083,0.011045395,0.99215529
orf19.7158,0.010631074,0.987547625
orf19.5658,0.010458769,0.987547625
orf19.3006,0.010139254,0.99016739
orf19.5293,0.009667224,0.99020469
orf19.1978,0.008712934,0.99016739
orf19.807,0.008459354,0.99020469
orf19.701,0.007906695,0.99215529
orf19.3457,0.007312253,0.99215529
orf19.4494,0.00726867,0.99020469
orf19.6744,0.006628925,0.99215529
orf19.5035,0.006388833,0.99020469
orf19.3627,0.006367362,0.99193673
orf19.5305,0.005848164,0.993555514
orf19.1576,0.005818927,0.99215529
orf19.151,0.005772458,0.99215529
orf19.6858,0.005620066,0.99215529
orf19.2251,0.005517665,0.99215529
orf19.5580,0.005015227,0.99215529
orf19.5530,0.003817809,0.994629774
orf19.1920,0.003406399,0.995071482
orf19.3809,0.003034042,0.995715608
orf19.1307,0.002588581,0.996036904
orf19.5792,0.00210008,0.996043402
orf19.3523,0.001871142,0.996043402
orf19.1114,0.001585234,0.9976417
orf19.7400,-0.000118333,0.999576196
orf19.4396,-0.000359964,0.999134627
orf19.2065,-0.001165193,0.996043402
orf19.5894,-0.001184163,0.996043402
orf19.4630,-0.00270363,0.996036904
orf19.5531,-0.0028219,0.996036904
orf19.1927,-0.00308884,0.995897138
orf19.7297,-0.00356419,0.995715608
orf19.4599,-0.003660694,0.994629774
orf19.6178,-0.003737994,0.995071482
orf19.2467,-0.00459134,0.994085795
orf19.5180,-0.005482023,0.993380978
orf19.3040,-0.005991276,0.99215529
orf19.1270,-0.006018257,0.99215529
orf19.386,-0.00671293,0.99215529
orf19.2391,-0.006757838,0.99215529
orf19.4481,-0.006862704,0.99215529
orf19.2575,-0.007086559,0.991871268
orf19.5029,-0.007138104,0.99193673
orf19.1442,-0.007255794,0.99215529
orf19.1040,-0.007870653,0.99016739
orf19.2966,-0.007980837,0.99016739
orf19.371,-0.009215712,0.991022769
orf19.7491,-0.009276822,0.985737344
orf19.644,-0.009471486,0.99016739
orf19.2948,-0.009661154,0.986855298
orf19.4736,-0.010533012,0.987547625
orf19.5113,-0.010574043,0.986855298
orf19.2131,-0.01126262,0.987860724
orf19.4889,-0.011601307,0.986855298
orf19.7570,-0.012580895,0.986855298
orf19.3638,-0.013118528,0.986855298
orf19.3670,-0.013610137,0.986855298
orf19.4375,-0.013842242,0.980722376
orf19.4379,-0.014325301,0.976353315
orf19.5037,-0.015090763,0.977396983
orf19.4737,-0.015349517,0.97524157
orf19.6038,-0.01575984,0.980510391
orf19.5730,-0.01655256,0.971119578
orf19.3922,-0.01733925,0.974729008
orf19.689,-0.017439954,0.971119578
orf19.2848,-0.017757645,0.974729008
orf19.4846,-0.019147539,0.974729008
orf19.1083,-0.019323542,0.974729008
orf19.4147,-0.019740307,0.969434583
orf19.1946,-0.021240498,0.966819773
orf19.7364,-0.021629216,0.971119578
orf19.1005,-0.02168279,0.963289295
orf19.5005,-0.022755482,0.963289295
orf19.3679,-0.022980025,0.964019723
orf19.1354,-0.023405181,0.959605551
orf19.4587,-0.02416596,0.964019723
orf19.6905,-0.024377797,0.963289295
orf19.3589,-0.025228736,0.962233833
orf19.1785,-0.025799803,0.959605551
orf19.2965,-0.027026621,0.959412928
orf19.5917,-0.027579309,0.959412928
orf19.1260,-0.027580271,0.977396983
orf19.2157,-0.027706535,0.963962783
orf19.1621,-0.028249938,0.971119578
orf19.4279,-0.028267805,0.955973859
orf19.1381,-0.028468092,0.949477232
orf19.7517,-0.028974918,0.955973859
orf19.7447,-0.029795063,0.959062022
orf19.1388,-0.030964276,0.963289295
orf19.388,-0.031084018,0.933614885
orf19.4823,-0.031252997,0.945982446
orf19.7324,-0.033125195,0.961870689
orf19.4923,-0.033791488,0.959412928
orf19.1180,-0.034920398,0.959412928
orf19.4151,-0.035626235,0.959605551
orf19.7397,-0.036465924,0.938046866
orf19.6086,-0.036660238,0.955973859
orf19.3362,-0.037167214,0.950351693
orf19.4801,-0.037788758,0.939652496
orf19.6460,-0.03819296,0.959412928
orf19.1756,-0.038236863,0.932978663
orf19.3151,-0.038293194,0.930369001
orf19.4416,-0.03879693,0.950300255
orf19.756,-0.039079662,0.945982446
orf19.7503,-0.039287432,0.949477232
orf19.6522,-0.03941172,0.945982446
orf19.3680,-0.039881264,0.944068845
orf19.4592,-0.040435528,0.961358853
orf19.1844,-0.04054248,0.959605551
orf19.3050,-0.040691373,0.933614885
orf19.848,-0.040746978,0.927827249
orf19.524,-0.041568648,0.933614885
orf19.123,-0.042021189,0.933115548
orf19.7359,-0.042211209,0.952554567
orf19.3923,-0.042679607,0.974729008
orf19.948,-0.045480646,0.931480487
orf19.5534,-0.045528827,0.938119587
orf19.5087,-0.045545565,0.930369001
orf19.2765,-0.045727424,0.944245242
orf19.6167,-0.046824392,0.922884218
orf19.5098,-0.047303074,0.925314684
orf19.3699,-0.04763175,0.932978663
orf19.35,-0.047941199,0.932133765
orf19.4369,-0.048028619,0.949477232
orf19.6072,-0.048478521,0.921979921
orf19.779,-0.048593914,0.921979921
orf19.2088,-0.049220249,0.931092462
orf19.5484,-0.050181946,0.89500604
orf19.3355,-0.050737395,0.944511924
orf19.896,-0.051115917,0.905246788
orf19.5672,-0.052462676,0.925314684
orf19.908,-0.052716873,0.925314684
orf19.4953,-0.053651238,0.945982446
orf19.6659,-0.053795206,0.934597145
orf19.5237,-0.054284043,0.945982446
orf19.1504,-0.056702969,0.90030694
orf19.944,-0.056857124,0.909893896
orf19.5299,-0.05732158,0.920481525
orf19.4855,-0.057435078,0.909893896
orf19.4927,-0.057451114,0.925314684
orf19.5655,-0.057769259,0.88771859
orf19.5220,-0.057968913,0.933614885
orf19.7283,-0.058382291,0.924465111
orf19.7602,-0.059126886,0.926704002
orf19.1153,-0.059128251,0.914309841
orf19.4897,-0.060169702,0.90030694
orf19.1149,-0.060603128,0.919807076
orf19.2341,-0.061175752,0.888551622
orf19.6809,-0.062074443,0.892700749
orf19.4612,-0.063621334,0.911441848
orf19.517,-0.064163935,0.899741464
orf19.4430,-0.065316184,0.905246788
orf19.6387,-0.066475762,0.93168936
orf19.1890,-0.067057941,0.896951296
orf19.1665,-0.068819686,0.891667647
orf19.3292,-0.069305511,0.89374546
orf19.3980,-0.07038007,0.888551622
orf19.7463,-0.070400537,0.862341944
orf19.6699,-0.070996642,0.888551622
orf19.4805,-0.071049648,0.89374546
orf19.742,-0.071608036,0.896951296
orf19.2445,-0.073286586,0.892789301
orf19.811,-0.074599788,0.829776902
orf19.4309,-0.07578751,0.860960409
orf19.5661,-0.076848436,0.879473118
orf19.3175,-0.078119861,0.89374546
orf19.2748,-0.078551297,0.862370588
orf19.5102,-0.078575457,0.874733994
orf19.3815,-0.078926243,0.897534519
orf19.2517,-0.079150131,0.89374546
orf19.4012,-0.079276041,0.919746048
orf19.4996,-0.07929897,0.899741464
orf19.7267,-0.080037466,0.862370588
orf19.6993,-0.080625556,0.872487443
orf19.1567,-0.084381415,0.965341337
orf19.5673,-0.08565053,0.811634531
orf19.3307,-0.085864787,0.845770024
orf19.5986,-0.086375453,0.851916057
orf19.313,-0.086912113,0.851916057
orf19.5159,-0.087551261,0.88771859
orf19.3705,-0.087878102,0.800331986
orf19.3548,-0.089232347,0.817733939
orf19.2461,-0.08939875,0.860441804
orf19.3231,-0.090951172,0.872167616
orf19.6912,-0.090953723,0.847773768
orf19.4002,-0.091375431,0.89374546
orf19.4160,-0.091755748,0.811634531
orf19.4079,-0.091814999,0.845770024
orf19.4528,-0.091995138,0.855974162
orf19.6012,-0.092029158,0.869134943
orf19.2751,-0.092533011,0.860441804
orf19.4551,-0.093435878,0.799395453
orf19.2996,-0.093548259,0.863014266
orf19.2028,-0.093861758,0.832627734
orf19.2198,-0.09429068,0.897658927
orf19.5343,-0.094946344,0.856513419
orf19.3369,-0.095255521,0.868594864
orf19.7124,-0.09636048,0.855921441
orf19.1637,-0.096576516,0.860578859
orf19.3049,-0.097053554,0.772692106
orf19.5858,-0.097664938,0.799395453
orf19.4802,-0.098227283,0.830044984
orf19.633,-0.098719804,0.829325601
orf19.2926,-0.098869859,0.855921441
orf19.2833,-0.100894229,0.819398242
orf19.4048,-0.10149515,0.810296741
orf19.5759,-0.102083829,0.824512907
orf19.4905,-0.102511793,0.865547067
orf19.3577,-0.10255075,0.836384944
orf19.3089,-0.10349486,0.82500235
orf19.1375,-0.103551204,0.794064755
orf19.3912,-0.103623041,0.837378482
orf19.5253,-0.104228545,0.811081101
orf19.7389,-0.104538358,0.922884218
orf19.5815,-0.104876553,0.872167616
orf19.131,-0.105426494,0.787644054
orf19.1325,-0.105624454,0.823825988
orf19.1223,-0.106212036,0.841910241
orf19.3787,-0.106771194,0.826998406
orf19.2146,-0.107840833,0.807119638
orf19.4535,-0.108176938,0.873278877
orf19.4906,-0.108221797,0.770681636
orf19.6477,-0.109473868,0.769296846
orf19.3445,-0.110208184,0.792444924
orf19.4475,-0.112383538,0.798747068
orf19.59,-0.112630257,0.716651682
orf19.895,-0.113497065,0.842489225
orf19.829,-0.114682436,0.855921441
orf19.1857,-0.115354217,0.753392291
orf19.652,-0.115750338,0.800538325
orf19.592,-0.117314895,0.747073478
orf19.3738,-0.118143752,0.82353996
orf19.3981,-0.118716211,0.90030694
orf19.4518,-0.118791564,0.829776902
orf19.273,-0.118801001,0.825480977
orf19.4414,-0.120411513,0.811081101
orf19.3208,-0.120520347,0.80231785
orf19.3606,-0.121252057,0.729453293
orf19.3122,-0.122600313,0.759253745
orf19.3810,-0.122887863,0.727871267
orf19.5234,-0.123469446,0.754288135
orf19.5953,-0.123599258,0.772692106
orf19.4940,-0.123678264,0.8008734
orf19.2401,-0.124131104,0.825912425
orf19.403,-0.124333137,0.770381458
orf19.3449,-0.125231919,0.752739264
orf19.3029,-0.126612018,0.711876651
orf19.7385,-0.126726431,0.848842389
orf19.4022,-0.127074739,0.785841401
orf19.4306,-0.127509891,0.747073478
orf19.2352,-0.128013964,0.823825988
orf19.6138,-0.128307869,0.872167616
orf19.6506,-0.129119224,0.847043675
orf19.7522,-0.129269026,0.783918985
orf19.5592,-0.129277758,0.740653276
orf19.2182,-0.12992219,0.726330203
orf19.3330,-0.130403387,0.797597695
orf19.3325,-0.131363608,0.764888643
orf19.2003,-0.131379185,0.796778807
orf19.7223,-0.132733306,0.797597695
orf19.7002,-0.132941461,0.755836479
orf19.3697,-0.133820567,0.769571288
orf19.4548,-0.134784065,0.770191919
orf19.3113,-0.134838725,0.852096558
orf19.2640,-0.135390922,0.770381458
orf19.6606,-0.139703627,0.836833461
orf19.2838,-0.140622138,0.753392291
orf19.3505,-0.14120849,0.920481525
orf19.5071,-0.143526748,0.720634161
orf19.2674,-0.144717097,0.771610839
orf19.7597,-0.14539845,0.772692106
orf19.1011,-0.14545046,0.825730026
orf19.3930,-0.146395259,0.860441804
orf19.5680,-0.146571732,0.80231785
orf19.1970,-0.148193152,0.693795145
orf19.2113,-0.148752382,0.753392291
orf19.2443,-0.149263092,0.685996852
orf19.2454,-0.149924341,0.681183042
orf19.5352,-0.151523139,0.731925443
orf19.6508,-0.153542285,0.755836479
orf19.4195.1,-0.153798347,0.777989431
orf19.6275,-0.154815161,0.811081101
orf19.5295,-0.156846479,0.692428482
orf19.6643,-0.158416667,0.625593668
orf19.2337,-0.161523524,0.77296812
orf19.3391,-0.161874717,0.713387819
orf19.3083,-0.16195594,0.651063086
orf19.6202,-0.162462886,0.707145179
orf19.1366,-0.164328371,0.753392291
orf19.4904,-0.164979702,0.772692106
orf19.4845,-0.165223871,0.696105096
orf19.719,-0.167035907,0.653415869
orf19.5228,-0.167147587,0.707009207
orf19.5376,-0.168958631,0.787715666
orf19.2703,-0.17053363,0.700628181
orf19.6058,-0.170656943,0.75250178
orf19.3066,-0.171353682,0.701775045
orf19.876,-0.171896522,0.771069666
orf19.2026,-0.174376747,0.687470927
orf19.5713,-0.175198199,0.643230324
orf19.2534,-0.175276746,0.688900636
orf19.4958,-0.175290616,0.693795145
orf19.6877,-0.175588945,0.700738272
orf19.4471,-0.175594748,0.574795808
orf19.2669,-0.176419763,0.625593668
orf19.111,-0.177236934,0.647070095
orf19.1517,-0.177725794,0.816882593
orf19.7479,-0.178294266,0.767691399
orf19.7269,-0.178473365,0.649909928
orf19.2046,-0.178673268,0.545710653
orf19.3920,-0.179262167,0.845366731
orf19.306,-0.180027303,0.634614026
orf19.6951,-0.180521789,0.651814478
orf19.2059,-0.180720947,0.716651682
orf19.6070,-0.181702074,0.551912589
orf19.976,-0.182086177,0.724000331
orf19.5162,-0.182969363,0.583172774
orf19.851,-0.184077817,0.748196604
orf19.6020,-0.184228006,0.564433767
orf19.6224,-0.186216427,0.610288579
orf19.1606,-0.186286461,0.665504436
orf19.4334,-0.186453814,0.770191919
orf19.2133,-0.187722242,0.585264209
orf19.3910,-0.18899414,0.649909928
orf19.3273,-0.189706676,0.642547027
orf19.2281,-0.190153697,0.617151031
orf19.5636,-0.191032557,0.660696531
orf19.4262,-0.191410072,0.597604611
orf19.4639,-0.191548459,0.617350582
orf19.2581,-0.192483409,0.698510863
orf19.5832,-0.193121583,0.742747488
orf19.4366,-0.194931694,0.742032191
orf19.7115,-0.195529513,0.716651682
orf19.7427,-0.197480179,0.658283796
orf19.3047,-0.199248875,0.591006429
orf19.2889,-0.199421486,0.811642927
orf19.5303,-0.202628508,0.660696531
orf19.7676,-0.202960924,0.638232467
orf19.6348,-0.20412756,0.647070095
orf19.972,-0.20434786,0.605811937
orf19.4284,-0.204796392,0.617151031
orf19.1954,-0.204801635,0.583172774
orf19.1832,-0.205096074,0.651063086
orf19.4213,-0.205542117,0.630024688
orf19.6985,-0.206252651,0.520203628
orf19.5103,-0.206439931,0.688900636
orf19.3225,-0.209217172,0.5821285
orf19.6459,-0.209327708,0.536589488
orf19.2992,-0.211313416,0.530405067
orf19.4767,-0.212903408,0.497681697
orf19.7585,-0.214585164,0.879473118
orf19.3482,-0.215034993,0.638307812
orf19.1477,-0.216072925,0.521246508
orf19.4001,-0.216926529,0.768977516
orf19.6382,-0.217040731,0.769571288
orf19.2828,-0.217310549,0.614583678
orf19.3213,-0.218586457,0.617043075
orf19.4294,-0.22099178,0.523299766
orf19.2301,-0.221812929,0.660696531
orf19.2192,-0.223081995,0.595747014
orf19.2930,-0.223136848,0.808392957
orf19.1772,-0.224361217,0.847773768
orf19.4371,-0.22541821,0.520203628
orf19.5160,-0.226467629,0.650020477
orf19.4199,-0.226927566,0.586892016
orf19.5031,-0.227229547,0.592615124
orf19.1404,-0.230472654,0.469178344
orf19.2602,-0.230607465,0.516736447
orf19.7096,-0.230767164,0.513419707
orf19.4546,-0.230886037,0.636647375
orf19.4119,-0.23099684,0.434956456
orf19.2881,-0.232261925,0.742882818
orf19.496,-0.232889955,0.536900868
orf19.1275,-0.23630613,0.676100586
orf19.3112,-0.236434667,0.479558944
orf19.4009,-0.237848603,0.617073267
orf19.136,-0.237925548,0.729086476
orf19.1394,-0.237945168,0.574377342
orf19.3353,-0.241881328,0.783918985
