Gene,Temp37_effect_size,Temp37_fdr
orf19.1614,0.662360824,0.105654389
orf19.5278,0.659458981,0.17095861
orf19.5205,0.658324164,0.251849113
orf19.2697,0.658063798,0.027271753
orf19.5255,0.65690927,0.09041845
orf19.2839,0.655818889,0.143221515
orf19.6850,0.654922977,0.063068224
orf19.6594,0.654239574,0.046819211
orf19.5393,0.653792097,0.091117088
orf19.5392,0.650980927,0.158598273
orf19.2343,0.650692257,0.032814361
orf19.3574,0.647943702,0.169143994
orf19.5105,0.64779535,0.119114206
orf19.714,0.645900464,0.063972016
orf19.3527,0.644966169,0.144536871
orf19.6898,0.644785353,0.093819892
orf19.1493,0.643031594,0.044427019
orf19.297,0.64295799,0.095106144
orf19.1080,0.641995952,0.02675555
orf19.290,0.638825366,0.085651247
orf19.6824,0.63644012,0.132808378
orf19.5742,0.636143351,0.021896582
orf19.5285,0.636065489,0.057833499
orf19.7497,0.633073128,0.167621333
orf19.2975,0.631670285,0.124035387
orf19.532,0.630413792,0.112839766
orf19.6916,0.628730958,0.253884083
orf19.3944,0.628349045,0.196291306
orf19.1874,0.626494988,0.013480444
orf19.4831,0.624924364,0.0511188
orf19.1542,0.622902058,0.022641029
orf19.2471,0.621725176,0.099932822
orf19.4907,0.613979895,0.136146695
orf19.2087,0.610733565,0.042397857
orf19.7258,0.610096051,0.142521941
orf19.7495,0.607204618,0.067558387
orf19.4890,0.605590488,0.222597523
orf19.2949,0.605175851,0.107922161
orf19.4621,0.604606641,0.066232319
orf19.600,0.603070553,0.158107597
orf19.2933,0.601083858,0.065378351
orf19.6143,0.600742049,0.115041292
orf19.3901,0.599760986,0.108629926
orf19.5665,0.598193218,0.108095247
orf19.7518,0.596466772,0.130108329
orf19.1698,0.596292806,0.029880683
orf19.2077,0.59564645,0.206595754
orf19.522,0.594618802,0.059310377
orf19.5615,0.593024565,0.076461679
orf19.5925,0.591198149,0.105654389
orf19.4555,0.591149077,0.073327657
orf19.4804,0.589547393,0.153669267
orf19.5078,0.586423584,0.044427019
orf19.1586,0.58365063,0.079720267
orf19.1730,0.58364292,0.136652666
orf19.4077,0.583044916,0.062622352
orf19.7077,0.581967624,0.147541557
orf19.6061,0.579563932,0.132078402
orf19.5552,0.578670952,0.262265049
orf19.7196,0.571861069,0.09041845
orf19.1365,0.569115719,0.237156155
orf19.1427,0.568029444,0.037445213
orf19.713,0.5668739,0.276347718
orf19.5038,0.566663011,0.068217626
orf19.1107,0.566503841,0.29569558
orf19.3272,0.563687396,0.145071901
orf19.2268,0.562736353,0.075114236
orf19.5646,0.559046144,0.063058345
orf19.1193,0.557849623,0.379323718
orf19.387,0.55768549,0.155521486
orf19.6558,0.556421145,0.147266734
orf19.1359,0.554869249,0.094480631
orf19.4060,0.553098933,0.095813129
orf19.7516,0.551139392,0.330763463
orf19.7539,0.550701118,0.143814714
orf19.1799,0.547734979,0.212243458
orf19.1162,0.543060043,0.144642261
orf19.1538,0.538174827,0.151129828
orf19.4081,0.537948653,0.207641914
orf19.5079,0.535809821,0.166715762
orf19.7410,0.535076994,0.109731025
orf19.4171,0.533431654,0.096197613
orf19.2194,0.532685413,0.091929429
orf19.4651,0.532628562,0.095002122
orf19.2711,0.531706716,0.195014515
orf19.5924,0.529636109,0.225919271
orf19.2612,0.527690486,0.050080688
orf19.5499,0.527580826,0.469386519
